NazwaStanowiska,Miejscowość,Firma,PLN,Doświadczenie,RodzajUmowy,RodzajKontraktu,TrybPracy,DataPobrania
Senior Business Analyst,"Wrocław, Śródmieście",PPG Global Business Services Poland Sp. z o.o.,-,"Kierownik / Koordynator, Menedżer",Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Senior Business Analyst,9 lokalizacji,Sollers Consulting,-,Starszy specjalista (Senior),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca hybrydowa,20.05.2024
Ekspert ds. zarządzania ryzykiem modeli,"Warszawa, Włochy",ALIOR BANK,-,"Starszy specjalista (Senior), Ekspert",Pełny etat,Umowa o pracę,Praca hybrydowa,20.05.2024
Specjalista / Specjalistka ds. Inżynierii Danych i Digitalizacji,Sady (pow. poznański),The Lorenz Bahlsen Snack-World Sp. z o.o.,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Analityk Biznesowy IT,"Łódź, Polesie",DOZ S.A.,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca stacjonarna,20.05.2024
IT Analyst (KYC/AML),Warszawa,Scalo Sp. z o.o.,100–130 zł netto (+ VAT) / godz.,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca od zaraz,20.05.2024
Młodszy Analityk - Consulting,"Warszawa, Mokotów",Incube CPM Sp. z o.o.,-,Młodszy specjalista (Junior),Pełny etat,"Umowa o pracę, Umowa zlecenie, Kontrakt B2B",Szukamy wielu kandydatów,20.05.2024
IT Business Analyst Operations,Szczecin,The Customization Group,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Analityk systemowo-biznesowy (nieruchomości),"Warszawa, Żoliborz",Pivotal Polska Sp. z o.o.,-,Starszy specjalista (Senior),Pełny etat,"Umowa o pracę, Kontrakt B2B",Praca od zaraz,20.05.2024
Business Analyst,"Warszawa, Ochota",BlueSoft Sp. z o.o.,-,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca od zaraz,20.05.2024
System Analyst,Miejsce pracy:Cała Polska (praca zdalna)Siedziba firmy:Katowice,Scalo Sp. z o.o.,120–140 zł netto (+ VAT) / godz.,Specjalista (Mid / Regular),Pełny etat,Kontrakt B2B,Praca od zaraz,20.05.2024
RPA Business Analyst,"Kraków, Podgórze",Amer Sports Global Business Services,-,Specjalista (Mid / Regular),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
Analityk Baz Danych i Informacji Zarządczej,"Łódź, Widzew",Citi Handlowy,-,Specjalista (Mid / Regular),Pełny etat,Umowa na zastępstwo,Praca hybrydowa,20.05.2024
Starsza Analityczka / Starszy Analityk w Zespole Raportowania i Analiz Biznesowych,"Warszawa, Wola",VeloBank S.A.,-,Starszy specjalista (Senior),Pełny etat,Umowa o pracę,Praca od zaraz,20.05.2024
